Category: All categories

Region,1989  Taylor Swift album: (2015)
Utah,100
Indiana,88
Iowa,83
Massachusetts,81
Pennsylvania,79
Kentucky,76
Missouri,75
Louisiana,74
Oregon,73
Maryland,72
Kansas,70
Michigan,70
Tennessee,69
Connecticut,68
Alabama,67
Wisconsin,65
California,65
Georgia,65
Virginia,63
New Jersey,62
Washington,59
Minnesota,57
Texas,57
New York,56
North Carolina,55
Arizona,54
South Carolina,54
Ohio,53
Illinois,52
Florida,49
Colorado,38
South Dakota,
Montana,
Mississippi,
Arkansas,
New Mexico,
Hawaii,
Vermont,
North Dakota,
Nebraska,
Maine,
District of Columbia,
Idaho,
Wyoming,
Nevada,
Oklahoma,
Rhode Island,
New Hampshire,
Alaska,
Delaware,
West Virginia,
