Category: All categories

Region,Evermore  Taylor Swift album: (2022)
Rhode Island,100
Delaware,51
Nebraska,46
Nevada,45
Idaho,45
Connecticut,44
New Hampshire,41
Massachusetts,41
Indiana,40
New Mexico,37
Minnesota,37
Iowa,36
Tennessee,31
Pennsylvania,29
New York,28
Louisiana,27
Michigan,27
Texas,27
Georgia,26
Virginia,26
Illinois,26
California,25
New Jersey,25
South Carolina,25
Maryland,24
Oklahoma,23
Ohio,23
Arizona,22
Utah,21
Florida,20
North Carolina,19
Wisconsin,19
Oregon,16
Alabama,16
Arkansas,16
Kentucky,13
Missouri,10
Washington,10
Alaska,
Colorado,
District of Columbia,
Hawaii,
Kansas,
Maine,
Mississippi,
Montana,
North Dakota,
South Dakota,
Vermont,
West Virginia,
Wyoming,
