Category: All categories

Region,Fearless  Taylor Swift album: (2022)
Pennsylvania,100
Utah,74
Minnesota,66
Indiana,65
New Jersey,62
North Carolina,59
Georgia,56
Alabama,55
Missouri,53
Ohio,52
Michigan,50
Oregon,49
Maryland,49
Massachusetts,47
Texas,47
Washington,45
New York,44
California,44
Wisconsin,40
Virginia,39
Florida,39
South Carolina,34
Iowa,32
Arizona,27
Tennessee,20
Illinois,20
Kentucky,16
South Dakota,
Alaska,
Montana,
New Hampshire,
Nebraska,
Maine,
District of Columbia,
New Mexico,
Connecticut,
Idaho,
Louisiana,
Arkansas,
Colorado,
Delaware,
Hawaii,
Kansas,
Mississippi,
North Dakota,
Nevada,
Oklahoma,
Rhode Island,
Vermont,
West Virginia,
Wyoming,
