Category: All categories

Region,Folklore  Taylor Swift album: (2020)
Connecticut,100
Massachusetts,98
Colorado,98
Minnesota,95
Indiana,91
Pennsylvania,88
Ohio,86
Michigan,84
Virginia,81
Illinois,78
Arizona,77
Wisconsin,76
New Jersey,75
Tennessee,73
Washington,73
Missouri,71
California,70
Georgia,68
Maryland,67
Texas,66
New York,65
South Carolina,59
Florida,51
Louisiana,50
North Carolina,49
Kentucky,35
Vermont,
Utah,
South Dakota,
Kansas,
New Hampshire,
Nebraska,
Idaho,
Maine,
District of Columbia,
New Mexico,
Montana,
Arkansas,
Nevada,
Oregon,
Alabama,
Delaware,
Rhode Island,
Mississippi,
West Virginia,
Alaska,
Oklahoma,
Iowa,
Hawaii,
North Dakota,
Wyoming,
