Category: All categories

Region,Lover  Taylor Swift album: (2019)
Rhode Island,100
Utah,100
Maine,98
Massachusetts,94
Kentucky,85
Missouri,84
New Hampshire,83
Nebraska,81
Ohio,78
Washington,77
Tennessee,75
Minnesota,73
Connecticut,73
Kansas,73
Illinois,72
Pennsylvania,72
Nevada,70
South Carolina,69
California,66
North Carolina,66
Arizona,65
Alabama,64
Virginia,64
Colorado,64
Oklahoma,62
Maryland,60
New York,60
Louisiana,60
Georgia,60
Indiana,57
District of Columbia,54
Texas,54
Wisconsin,54
New Jersey,52
Florida,50
Idaho,49
Oregon,48
Michigan,42
Iowa,37
Arkansas,35
Hawaii,27
Vermont,
West Virginia,
New Mexico,
South Dakota,
Mississippi,
Delaware,
Alaska,
Montana,
North Dakota,
Wyoming,
