Category: All categories

Region,Midnights  Taylor Swift album: (2023)
Utah,100
Nebraska,97
Kentucky,91
Massachusetts,90
Minnesota,84
Pennsylvania,82
Connecticut,78
Missouri,77
Wisconsin,75
Indiana,72
Ohio,71
Michigan,67
New Jersey,66
Illinois,61
Virginia,61
Idaho,57
Oregon,56
North Carolina,56
Kansas,56
Tennessee,50
Arizona,48
Alabama,48
Arkansas,48
Texas,47
Washington,47
California,46
New York,46
Iowa,45
Colorado,45
Georgia,43
District of Columbia,41
Oklahoma,40
Florida,39
Maryland,37
New Hampshire,37
South Carolina,35
Nevada,34
Louisiana,30
Vermont,
Maine,
North Dakota,
Rhode Island,
Hawaii,
West Virginia,
Montana,
Delaware,
Mississippi,
New Mexico,
Alaska,
South Dakota,
Wyoming,
