Category: All categories

Region,Red  Taylor Swift album: (2023)
Rhode Island,100
Connecticut,77
Iowa,71
Maine,71
Utah,65
Nebraska,63
Massachusetts,59
Ohio,58
Kentucky,57
New Jersey,57
Pennsylvania,55
Minnesota,55
Colorado,54
Missouri,54
Illinois,53
Idaho,53
Indiana,51
Oklahoma,50
Tennessee,50
Arkansas,50
Kansas,48
Michigan,48
South Carolina,46
Texas,45
Wisconsin,43
Oregon,43
California,41
Nevada,40
Virginia,39
Georgia,39
North Carolina,38
Arizona,38
Washington,36
Alabama,35
New York,35
Maryland,35
Florida,33
Louisiana,31
New Hampshire,30
Mississippi,15
Wyoming,
Vermont,
North Dakota,
West Virginia,
Delaware,
Hawaii,
New Mexico,
Montana,
Alaska,
District of Columbia,
South Dakota,
