Category: All categories

Region,Reputation  Taylor Swift album: (2017)
Utah,100
Massachusetts,80
Kentucky,77
Nebraska,74
Indiana,73
Iowa,68
Ohio,67
Virginia,66
Tennessee,66
Oklahoma,65
Connecticut,63
Pennsylvania,63
South Carolina,62
Missouri,61
Alabama,59
Arizona,58
Louisiana,57
Colorado,57
Illinois,57
Minnesota,56
Georgia,56
Wisconsin,56
New York,56
North Carolina,55
Maryland,53
Arkansas,51
California,50
Oregon,49
New Jersey,48
Michigan,47
Texas,47
Washington,45
Nevada,45
Florida,45
Kansas,39
Rhode Island,
South Dakota,
Alaska,
Montana,
Vermont,
West Virginia,
Idaho,
Delaware,
Mississippi,
New Hampshire,
District of Columbia,
New Mexico,
Maine,
Hawaii,
North Dakota,
Wyoming,
