Category: All categories

Region,Speak Now  Taylor Swift album: (2023)
Kentucky,100
Illinois,91
Ohio,89
Massachusetts,85
New Jersey,85
Missouri,85
Wisconsin,80
Pennsylvania,80
Indiana,75
Colorado,73
Minnesota,73
Virginia,71
Tennessee,67
North Carolina,67
Michigan,66
Maryland,60
Georgia,60
Washington,60
South Carolina,57
Texas,56
California,52
New York,52
Florida,49
West Virginia,
Alaska,
Connecticut,
Nebraska,
Vermont,
Utah,
North Dakota,
Rhode Island,
Iowa,
Idaho,
Oklahoma,
Delaware,
Louisiana,
Alabama,
Arkansas,
New Hampshire,
Maine,
Kansas,
Montana,
Arizona,
Oregon,
Mississippi,
Nevada,
New Mexico,
District of Columbia,
Hawaii,
South Dakota,
Wyoming,
